what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275087698
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500275101050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275106422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275108375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275109997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275147777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275149695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275272816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275275222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275276864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275288022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275294840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275300953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275304622
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500275327944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275339271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275347609
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1500275359714
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1500275368346
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1500275368360
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275377639
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500275388784
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500275391751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275402304
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275406975
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275410648
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275414808
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275419536
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500275426723
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275437843
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500275442021
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500275448373
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275453322
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275453417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275487023
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275491472
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275493359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275500623
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275503552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275511357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275554405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275560374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500275575374
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500275575395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275582350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500275599454
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500275602690
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500276100935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500276114953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500276118122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500276125470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500276126974
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1500276130304
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500276136928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1500276143754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276144443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276145494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276146723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276147875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276148231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276162008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276162441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276170001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276177823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276184426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276186286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276318178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276336167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500276344577
