what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1500257307351
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1500257307352
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1500257307352
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1500257307353
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1500257307353
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1500257307353
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1500257307353
os,sysinfo,,,"win32",1500257307359
arch,sysinfo,,,"x86",1500257307359
ws,sysinfo,,,"win32",1500257307359
locale,sysinfo,,,"zh_CN",1500257307359
processors,sysinfo,,,"4",1500257307360
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1500257307360
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1500257307360
java.specification.name,sysinfo,,,"Java Platform API Specification",1500257307360
java.specification.vendor,sysinfo,,,"Oracle Corporation",1500257307360
java.specification.version,sysinfo,,,"1.8",1500257307360
java.vendor,sysinfo,,,"Oracle Corporation",1500257307360
java.version,sysinfo,,,"1.8.0_101",1500257307360
java.vm.info,sysinfo,,,"mixed mode",1500257307360
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1500257307360
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1500257307360
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1500257307360
java.vm.specification.version,sysinfo,,,"1.8",1500257307360
java.vm.vendor,sysinfo,,,"Oracle Corporation",1500257307360
java.vm.version,sysinfo,,,"25.101-b13",1500257307360
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1500257307366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500257307899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500257988748
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500257992700
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1500257994481
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1500257994507
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1500257997688
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500257998087
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500257998149
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500258000105
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500258001282
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1500258001373
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1500258004477
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1500258004704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500258009071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1500258016011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1500258016018
