127.0.0.1 - - [02/Aug/2017:22:10:44 +0800] "GET /shop/static/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:44 +0800] "GET /shop/static/js/vue.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:44 +0800] "GET /shop/static/js/base.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:44 +0800] "GET /shop/static/js/vue-resource.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:45 +0800] "GET /shop/static/js/register.js HTTP/1.1" 200 2663
127.0.0.1 - - [02/Aug/2017:22:10:45 +0800] "GET /shop/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:46 +0800] "GET /shop/login.html HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:46 +0800] "GET /shop/static/js/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:10:46 +0800] "GET /shop/static/js/login.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/index.html HTTP/1.1" 200 6085
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/img/index/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/img/index/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/vue.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/img/index/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/vue-resource.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/base.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:45:07 +0800] "GET /shop/static/img/4.jpg HTTP/1.1" 304 -
