what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1499658721323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1499658721323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499658723699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499658791818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499668422614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670139773
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670141473
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499670145102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670149700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670190315
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670190508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670190577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670200286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670227062
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499670245475
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499670245754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670262624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670263923
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670270647
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499670275251
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670297482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670301238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670346668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1499670346770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670351104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670353728
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499670371081
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499670372017
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499670377288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670379918
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499670396989
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499670397019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670397052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1499670397072
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670407061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670426911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670429447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670444688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670448208
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499670452806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670469390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670483214
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670484814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670535317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670627986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670633561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499670668961
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1499670671263
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670671310
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1499670672381
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499670672421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499670706917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499670707489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499670709531
