what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675204452
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499675207049
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499675287103
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499675335968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675338515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675338637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675340234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675448099
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499675626233
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499675673087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675687217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675805265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499675940369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676072907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676102746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676102853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676103435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676635149
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499676639585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499676716284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676717194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676727404
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499676727427
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499676739134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676742777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676742913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499676752830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499676754690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499676777835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499676779689
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499676781046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499676784204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499676786999
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499676789648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499676790859
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499676791789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499676793056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676797758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499676814635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499676816013
