what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1499736586683
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1499736586716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499736587311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499736591424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499736637933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499736642583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499736664884
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1499736674508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736674949
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736689660
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736689661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499736729092
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736730861
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736730892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499736731059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499736732825
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736736198
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499736738195
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736738836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499736740135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499736741955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736747751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736747900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736757335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736757459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736759394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736790079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736793454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736796702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736900819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1499736904609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736906485
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1499736908298
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499736911088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499736915925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736920952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736924713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499736976511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737029514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737031952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737108657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737128088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737135779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737143987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737777570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737779518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499737784993
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1499737787293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499737794818
